real_name,pumptotal,quinns,yanchep,whitfords,sw_flux,pf_sw_flux,tds,pf_tds,total_penalties,total_penalties_var,ei
gen=1799_member=9813_pso,-113.801815,-13.4229442,-1.10235376,-19.1273411,9722.18619,0,315.883588,0,413.9305,0,0
gen=1900_restart=2,-114.486939,-14.4138155,-0.945223471,-17.4391707,9742.81548,0,317.135218,0,417.722,0,0
gen=1900_restart=3,-114.357794,-13.7908968,-0.8148503129999999,-17.8936507,9747.235579999999,0,315.150442,0,422.4770999999999,0,0
gen=1900_restart=4,-115.573311,-13.2601709,-0.866579415,-17.254146,9720.91248,0,312.98927,0,435.4091,0,0
gen=1900_restart=7,-121.564007,-12.9930537,-0.906651664,-13.3361664,9694.9623,0,306.219985,0,490.66489999999993,0,0
gen=1900_restart=16,-114.167706,-14.013122,-1.02067298,-19.3726374,9732.78077,0,317.750062,0,414.7425,0,0
gen=1900_restart=22,-114.104453,-13.7012759,-0.7116928449999999,-17.0682737,9752.07384,0,318.286612,0,420.4704,0,0
gen=1900_restart=40,-114.285244,-14.6127453,-1.10192486,-18.6604629,9743.27898,0,317.631949,0,415.95429999999993,0,0
gen=1900_restart=44,-114.333786,-14.5187952,-1.09666795,-18.881596,9741.8306,0,317.286645,0,415.6062,0,0
gen=1900_restart=45,-114.617473,-14.746103,-1.04829297,-17.4276984,9741.86972,0,317.700913,0,417.1569,0,0
gen=1900_restart=50,-118.478182,-13.2639112,-0.928446237,-13.8085446,9690.13798,0,306.281046,0,474.2074999999999,0,0
gen=1900_restart=78,-116.059456,-13.118634,-0.8837287169999999,-15.3028757,9697.58912,0,307.311303,0,455.8780999999999,0,0
gen=1900_restart=80,-115.346115,-13.8841118,-1.03179736,-18.0492637,9737.04121,0,314.542202,0,426.2801,0,0
gen=1900_restart=84,-114.38892,-13.0945521,-0.6695467499999999,-18.5479049,9751.83823,0,317.585713,0,419.05119999999994,0,0
gen=1900_restart=96,-129.318847,-13.4700617,-0.944246845,-14.9906159,9731.419990000002,0,313.686639,0,503.1536,0,0
gen=1951_member=5014_pso,-113.748971,-13.7937878,-1.01144737,-20.0317337,9731.95904,0,317.99037,0,415.08789999999993,0,0
gen=1955_member=5423_pso,-114.330529,-13.9985636,-0.957263687,-18.3916589,9729.35088,0,317.521293,0,414.0367999999999,0,0
gen=1957_member=5613_pso,-114.939632,-13.9500776,-1.07087217,-18.8740649,9746.477640000001,0,319.562401,0,414.5729999999999,0,0
gen=1957_member=5623_pso,-113.810301,-15.0997312,-1.18295031,-19.521721,9724.24117,0,315.96425,0,413.8972,0,0
gen=1959_member=5802_pso,-114.443197,-14.7325803,-1.00690927,-17.8221231,9729.23251,0,318.445453,0,415.45289999999994,0,0
gen=1960_member=5925_pso,-113.966767,-13.5701558,-0.995212213,-19.597636,9737.23701,0,318.62765,0,414.1215,0,0
gen=1961_member=6015_pso,-114.996857,-13.0549638,-0.905144791,-19.2897378,9748.91609,0,317.391674,0,414.1545000000001,0,0
gen=1962_member=6183_pso,-113.724397,-12.960468,-1.15964769,-18.7318958,9729.59118,0,318.102139,0,414.66399999999993,0,0
gen=1963_member=6227_pso,-114.016721,-14.6591424,-1.08062575,-18.7884124,9736.53852,0,315.928791,0,415.07199999999995,0,0
gen=1965_member=6419_pso,-115.076501,-14.959607,-1.03071931,-19.7144641,9737.096130000002,0,318.789106,0,415.7511999999999,0,0
gen=1966_member=6519_pso,-114.723402,-14.3843339,-0.98960973,-18.1648383,9744.17569,0,318.372619,0,416.3025999999999,0,0
gen=1967_member=6619_pso,-114.188198,-14.4212539,-1.07951959,-18.8779845,9731.58577,0,318.456738,0,415.4723,0,0
gen=1967_member=6631_pso,-115.338618,-13.789518,-1.17068817,-19.5055753,9756.18941,0,317.987411,0,415.8748000000001,0,0
gen=1967_member=6647_pso,-113.808925,-14.2171195,-1.15452055,-19.3082847,9736.801590000001,0,318.122449,0,414.63999999999993,0,0
gen=1968_member=6730_pso,-113.79354,-14.7549336,-1.16531055,-18.2048459,9746.00631,0,318.421295,0,416.1053999999999,0,0
gen=1968_member=6739_pso,-113.667883,-14.6964172,-1.17277629,-18.6782922,9742.90198,0,316.494829,0,415.3384,0,0
gen=1969_member=6820_pso,-113.717424,-13.9481997,-1.17282624,-19.5969528,9749.267,0,316.281333,0,413.8969,0,0
gen=1969_member=6824_pso,-114.547964,-15.0002115,-1.05161111,-18.8549751,9742.96827,0,319.854471,0,414.5958,0,0
gen=1970_member=6912_pso,-114.000724,-13.6375253,-1.08197527,-19.0221462,9734.095,0,316.653178,0,414.0248,0,0
gen=1970_member=6922_pso,-113.999502,-12.9812395,-0.966528498,-18.2832641,9758.31721,0,319.508252,0,414.0512000000001,0,0
gen=1970_member=6946_pso,-114.230071,-12.9931848,-1.07779506,-19.0697709,9746.69688,0,317.46155,0,414.475,0,0
gen=1970_member=6977_pso,-115.041026,-14.5255681,-1.06379404,-19.073513,9746.47647,0,316.867565,0,418.574,0,0
gen=1971_member=7055_pso,-114.078057,-14.2054184,-0.846953169,-19.3553289,9734.70783,0,319.161469,0,414.5089999999999,0,0
gen=1973_member=7246_pso,-115.282739,-13.8593542,-1.09050366,-19.9147024,9745.37719,0,318.904874,0,414.67869999999994,0,0
gen=1973_member=7279_pso,-114.480294,-14.8240468,-1.03894338,-18.651017,9737.478100000002,0,319.213391,0,415.3932,0,0
gen=1974_member=7346_pso,-114.409981,-15.1907822,-1.15424665,-19.6872748,9737.09588,0,318.347168,0,416.8437,0,0
gen=1975_member=7431_pso,-113.758123,-14.5587172,-1.02143736,-18.4053965,9727.892500000002,0,317.179285,0,415.20269999999994,0,0
gen=1976_member=7500_pso,-113.582592,-14.2121683,-1.02333997,-19.3359893,9734.37004,0,317.428293,0,414.1797,0,0
gen=1976_member=7516_pso,-113.673882,-13.9238872,-1.08871857,-19.4775888,9732.7498,0,319.40641,0,414.9602,0,0
gen=1976_member=7540_pso,-113.570361,-14.2711372,-1.15064322,-19.4549287,9741.28626,0,318.500905,0,414.50069999999994,0,0
gen=1976_member=7573_pso,-114.285902,-14.7190204,-1.0895863,-19.4130985,9735.10551,0,317.118512,0,413.86119999999994,0,0
gen=1976_member=7586_pso,-114.057882,-13.7585042,-1.04121421,-19.537482,9741.458310000002,0,316.831507,0,414.63,0,0
gen=1976_member=7591_pso,-113.517166,-13.2395361,-1.07635048,-18.7834157,9746.18705,0,317.96629,0,413.4755,0,0
gen=1977_member=7617_pso,-113.696196,-12.7566307,-1.11320633,-17.3660082,9752.62262,0,318.52364,0,414.14559999999994,0,0
gen=1977_member=7631_pso,-113.663102,-13.7194075,-1.00792595,-18.9901145,9737.08597,0,317.433802,0,414.3675,0,0
gen=1977_member=7686_pso,-114.223935,-13.5872516,-0.938119606,-19.4355384,9736.9616,0,316.326495,0,414.7565,0,0
gen=1978_member=7707_pso,-115.419283,-13.2915721,-1.12807178,-20.3866968,9767.000860000002,0,319.7366,0,414.1150999999999,0,0
gen=1978_member=7724_pso,-114.104182,-14.4312183,-1.17604647,-18.9991289,9746.22199,0,318.135324,0,415.6073999999999,0,0
gen=1978_member=7774_pso,-114.545934,-14.413073,-1.0289288,-17.4374033,9747.70749,0,315.146685,0,416.8294000000001,0,0
gen=1978_member=7784_pso,-114.450056,-14.0819482,-1.17713513,-18.5120866,9749.16148,0,318.263404,0,414.03209999999984,0,0
gen=1979_member=7829_pso,-115.657842,-14.3110322,-0.940728932,-18.8874241,9735.94961,0,319.503676,0,415.2311,0,0
gen=1979_member=7871_pso,-114.430733,-13.1849104,-1.05042446,-19.6444075,9733.96364,0,318.806345,0,414.4952,0,0
gen=1980_member=7931_pso,-113.636195,-12.837085,-1.0229388,-18.8445268,9742.98572,0,315.418445,0,414.5979,0,0
gen=1982_member=8110_pso,-114.316601,-14.1974906,-1.03460517,-18.8731282,9737.79041,0,318.933127,0,414.6024999999999,0,0
gen=1983_member=8238_pso,-114.781003,-14.6121942,-0.999651739,-18.9816168,9735.583600000002,0,318.55772,0,414.9817999999999,0,0
gen=1983_member=8241_pso,-116.442639,-15.0050969,-1.18686917,-19.8810321,9754.98869,0,318.94689,0,415.3442999999999,0,0
gen=1983_member=8243_pso,-114.631756,-11.7447374,-1.05069025,-19.8743963,9773.93293,0,319.402606,0,414.0446,0,0
gen=1983_member=8289_pso,-114.372022,-15.0292844,-1.11163,-18.945453,9731.54045,0,314.371906,0,415.7965999999999,0,0
gen=1984_member=8302_pso,-113.824096,-13.8788625,-1.11459456,-19.3124267,9738.09934,0,319.461398,0,413.89539999999994,0,0
gen=1984_member=8392_pso,-115.420373,-14.7512107,-1.12460685,-18.2902892,9740.71225,0,319.786078,0,415.02719999999994,0,0
gen=1985_member=8413_pso,-114.150157,-14.4079438,-1.0401722,-19.2118914,9742.08576,0,316.591755,0,415.451,0,0
gen=1986_member=8523_pso,-113.975738,-13.3089639,-1.05116527,-18.1281212,9744.19423,0,318.343503,0,414.1138,0,0
gen=1987_member=8618_pso,-114.211058,-13.9201229,-1.1253045,-18.8467223,9746.339680000001,0,318.794083,0,414.608,0,0
gen=1988_member=8741_pso,-113.959582,-14.416452,-1.14768118,-20.1519708,9739.05124,0,316.456569,0,415.7419999999999,0,0
gen=1989_member=8850_pso,-113.92837,-14.5305451,-1.18782385,-18.4805776,9738.79258,0,314.181929,0,417.29099999999994,0,0
gen=1990_member=8923_pso,-114.209517,-12.9709233,-1.02734666,-19.1580649,9756.298710000001,0,317.301598,0,414.2994999999999,0,0
gen=1991_member=9007_pso,-113.905399,-14.9814281,-1.12467076,-18.6679943,9737.36752,0,318.448182,0,415.6088,0,0
gen=1992_member=9107_pso,-114.343178,-14.3456279,-1.06576604,-19.68581,9734.23469,0,319.580298,0,415.0649,0,0
gen=1992_member=9125_pso,-113.696842,-13.8602136,-1.00594123,-18.8593069,9725.5946,0,316.467664,0,414.65129999999994,0,0
gen=1992_member=9129_pso,-116.418127,-15.1873105,-1.1279122,-19.5550334,9745.83698,0,319.856153,0,416.06549999999993,0,0
gen=1993_member=9233_pso,-114.771074,-14.1781011,-1.17003084,-18.5384372,9747.669189999999,0,316.988157,0,415.8471999999998,0,0
gen=1993_member=9241_pso,-113.925361,-14.2832803,-0.990496735,-19.6102446,9731.354819999999,0,318.923984,0,414.0208,0,0
gen=1993_member=9278_pso,-115.545508,-13.4421321,-1.17188115,-19.5694619,9756.00953,0,318.652365,0,414.1448,0,0
gen=1994_member=9322_pso,-114.185701,-14.1740766,-1.05250738,-19.9935688,9734.73528,0,316.905523,0,415.1228999999999,0,0
gen=1994_member=9333_pso,-115.380769,-15.4801348,-1.06610081,-18.4955608,9746.198190000001,0,317.874291,0,416.2471999999999,0,0
gen=1994_member=9360_pso,-114.568001,-14.3675987,-0.968538281,-19.1676329,9729.309329999998,0,317.255042,0,414.7095999999999,0,0
gen=1995_member=9445_pso,-115.333333,-14.2472831,-1.12365012,-19.5665305,9745.953260000002,0,317.281186,0,416.2747999999999,0,0
gen=1996_member=9510_pso,-114.140234,-13.814876,-0.983886323,-18.1489204,9738.37045,0,315.294506,0,414.5903,0,0
gen=1996_member=9524_pso,-114.332354,-14.3827427,-1.0159986,-19.2399683,9753.490890000001,0,314.85526,0,414.8108,0,0
gen=1996_member=9551_pso,-114.11831,-13.8577267,-1.08963849,-18.9985698,9735.4881,0,318.67882,0,414.52969999999993,0,0
gen=1996_member=9555_pso,-113.991163,-13.9340281,-0.960711956,-18.8529084,9738.90537,0,317.321265,0,413.7806,0,0
gen=1996_member=9562_pso,-114.402623,-14.1720888,-1.1887102,-20.3419721,9740.74835,0,314.163461,0,414.49819999999994,0,0
gen=1997_member=9627_pso,-113.770614,-14.9252367,-1.07278371,-17.950863,9730.31976,0,316.285871,0,416.3877999999999,0,0
gen=1997_member=9630_pso,-114.605527,-13.9462803,-1.12929982,-18.8482996,9750.11407,0,318.446233,0,415.9901999999999,0,0
gen=1997_member=9638_pso,-114.025486,-14.9071293,-1.02122686,-18.6725797,9730.32573,0,319.504417,0,414.0312,0,0
gen=1997_member=9688_pso,-113.799465,-14.2363297,-1.01972937,-20.2246206,9746.573800000002,0,316.180121,0,413.6563,0,0
gen=1998_member=9703_pso,-114.759094,-12.866392,-1.12420645,-19.7364895,9750.88755,0,316.451724,0,414.5559999999999,0,0
gen=1998_member=9727_pso,-114.288285,-13.2799477,-0.978568019,-18.923405,9743.36271,0,317.915143,0,415.0549,0,0
gen=1998_member=9731_pso,-113.853197,-13.9749227,-1.08586762,-18.3029794,9736.45899,0,317.369757,0,415.9308,0,0
gen=1998_member=9735_pso,-113.796994,-14.7901188,-1.05626413,-18.6176261,9732.57489,0,317.585897,0,413.8108,0,0
gen=1999_member=9880_pso,-114.247956,-15.025137,-1.11136996,-19.2223946,9735.72064,0,319.224792,0,415.15969999999993,0,0
gen=1999_member=9883_pso,-113.690687,-14.9332976,-1.17110462,-18.6299948,9731.721569999996,0,318.49078,0,414.2093,0,0
gen=1999_member=9890_pso,-115.672334,-14.2292783,-1.13343436,-19.0824501,9746.74794,0,316.673092,0,417.3091999999999,0,0
gen=2000_member=9935_pso,-114.961823,-14.4995036,-1.04209507,-19.8079809,9734.07174,0,317.489134,0,414.92709999999994,0,0
gen=2000_member=9946_pso,-114.083644,-14.8204198,-1.07036242,-19.2492298,9740.54352,0,317.236605,0,415.0856,0,0
gen=2000_member=9950_pso,-113.531404,-15.24117,-1.02353368,-18.0127053,9728.1219,0,318.940745,0,416.51829999999984,0,0
